index,entry_date,day_of_week,expiry_date,atm_strike,chosen_strike,strike_offset,qty,ce_entry_open,pe_entry_open,sl_pct,ce_exit_ts,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_exit_ts,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,net_pnl
NIFTY,2026-04-13,Monday,2026-04-28,23600,23600,0,325,453.10,396.75,20%,2026-04-13T11:50:00+05:30,543.72,sl,-91.62,-29776.50,2026-04-13T15:20:00+05:30,292.00,day_close,103.75,33718.75,3942.25,3842.25
NIFTY,2026-04-13,Monday,2026-04-28,23600,23600,0,325,453.10,396.75,30%,2026-04-13T13:54:00+05:30,589.03,sl,-136.93,-44502.25,2026-04-13T15:20:00+05:30,292.00,day_close,103.75,33718.75,-10783.50,-10883.50
NIFTY,2026-04-13,Monday,2026-04-28,23600,23600,0,325,453.10,396.75,40%,2026-04-13T15:20:00+05:30,554.10,day_close,-102.00,-33150.00,2026-04-13T15:20:00+05:30,292.00,day_close,103.75,33718.75,568.75,468.75
NIFTY,2026-04-13,Monday,2026-04-28,23600,23600,0,325,453.10,396.75,50%,2026-04-13T15:20:00+05:30,554.10,day_close,-102.00,-33150.00,2026-04-13T15:20:00+05:30,292.00,day_close,103.75,33718.75,568.75,468.75
NIFTY,2026-04-13,Monday,2026-04-28,23600,23600,0,325,453.10,396.75,60%,2026-04-13T15:20:00+05:30,554.10,day_close,-102.00,-33150.00,2026-04-13T15:20:00+05:30,292.00,day_close,103.75,33718.75,568.75,468.75
NIFTY,2026-04-13,Monday,2026-04-28,23600,23600,0,325,453.10,396.75,70%,2026-04-13T15:20:00+05:30,554.10,day_close,-102.00,-33150.00,2026-04-13T15:20:00+05:30,292.00,day_close,103.75,33718.75,568.75,468.75
NIFTY,2026-04-13,Monday,2026-04-28,23600,23600,0,325,453.10,396.75,80%,2026-04-13T15:20:00+05:30,554.10,day_close,-102.00,-33150.00,2026-04-13T15:20:00+05:30,292.00,day_close,103.75,33718.75,568.75,468.75
NIFTY,2026-04-13,Monday,2026-04-28,23600,23600,0,325,453.10,396.75,90%,2026-04-13T15:20:00+05:30,554.10,day_close,-102.00,-33150.00,2026-04-13T15:20:00+05:30,292.00,day_close,103.75,33718.75,568.75,468.75
NIFTY,2026-04-13,Monday,2026-04-28,23600,23600,0,325,453.10,396.75,100%,2026-04-13T15:20:00+05:30,554.10,day_close,-102.00,-33150.00,2026-04-13T15:20:00+05:30,292.00,day_close,103.75,33718.75,568.75,468.75
NIFTY,2026-04-17,Friday,2026-04-28,24200,24200,0,325,304.95,297.70,20%,2026-04-17T11:55:00+05:30,365.94,sl,-61.99,-20146.75,2026-04-17T15:20:00+05:30,210.00,day_close,86.70,28177.50,8030.75,7930.75
NIFTY,2026-04-17,Friday,2026-04-28,24200,24200,0,325,304.95,297.70,30%,2026-04-17T15:20:00+05:30,381.80,day_close,-77.85,-25301.25,2026-04-17T15:20:00+05:30,210.00,day_close,86.70,28177.50,2876.25,2776.25
NIFTY,2026-04-17,Friday,2026-04-28,24200,24200,0,325,304.95,297.70,40%,2026-04-17T15:20:00+05:30,381.80,day_close,-77.85,-25301.25,2026-04-17T15:20:00+05:30,210.00,day_close,86.70,28177.50,2876.25,2776.25
NIFTY,2026-04-17,Friday,2026-04-28,24200,24200,0,325,304.95,297.70,50%,2026-04-17T15:20:00+05:30,381.80,day_close,-77.85,-25301.25,2026-04-17T15:20:00+05:30,210.00,day_close,86.70,28177.50,2876.25,2776.25
NIFTY,2026-04-17,Friday,2026-04-28,24200,24200,0,325,304.95,297.70,60%,2026-04-17T15:20:00+05:30,381.80,day_close,-77.85,-25301.25,2026-04-17T15:20:00+05:30,210.00,day_close,86.70,28177.50,2876.25,2776.25
