offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
100,2020-01-02,Thursday,TRADED,,2020-01-02,12216.80,12200,12200,0,12300,12100,75,4,300,0.60,1.25,2.50,2020-01-02T12:31:00+05:30,2.50,sl,0.75,1.50,2020-01-02T15:20:00+05:30,0.05,day_close,477900.00,-765.00,100.00,-865.00,
100,2020-01-09,Thursday,TRADED,,2020-01-09,12162.40,12150,12150,0,12250,12050,75,4,300,0.54,3.40,6.80,2020-01-09T15:20:00+05:30,0.05,day_close,1.85,3.70,2020-01-09T15:20:00+05:30,0.10,day_close,475950.00,930.00,100.00,830.00,
100,2020-01-16,Thursday,TRADED,,2020-01-16,12372.50,12350,12350,0,12450,12250,75,4,300,0.76,0.65,1.30,2020-01-16T15:20:00+05:30,0.05,day_close,0.85,1.70,2020-01-16T11:13:00+05:30,1.70,sl,483750.00,-675.00,100.00,-775.00,
100,2020-01-23,Thursday,TRADED,,2020-01-23,12117.20,12100,12100,0,12200,12000,75,4,300,0.41,2.55,5.10,2020-01-23T09:34:00+05:30,5.10,sl,1.05,2.10,2020-01-23T15:20:00+05:30,0.05,day_close,474000.00,-1065.00,100.00,-1165.00,
100,2020-01-30,Thursday,TRADED,,2020-01-30,12095.00,12100,12100,0,12200,12000,75,4,300,0.57,2.25,4.50,2020-01-30T15:20:00+05:30,0.05,day_close,3.95,7.90,2020-01-30T10:26:00+05:30,7.90,sl,474000.00,-1125.00,100.00,-1225.00,
100,2020-02-06,Thursday,TRADED,,2020-02-06,12128.00,12150,12100,-1,12200,12000,75,4,300,0.39,5.60,11.20,2020-02-06T15:20:00+05:30,0.10,day_close,2.20,4.40,2020-02-06T15:20:00+05:30,0.05,day_close,474000.00,1695.00,100.00,1595.00,
100,2020-02-13,Thursday,TRADED,,2020-02-13,12183.30,12200,12200,0,12300,12100,75,4,300,0.25,0.80,1.60,2020-02-13T15:20:00+05:30,0.05,day_close,3.25,6.50,2020-02-13T15:20:00+05:30,0.05,day_close,477900.00,585.00,100.00,485.00,
100,2020-02-20,Thursday,TRADED,,2020-02-20,12113.00,12100,12100,0,12200,12000,75,4,300,0.69,1.60,3.20,2020-02-20T15:20:00+05:30,0.10,day_close,1.10,2.20,2020-02-20T15:20:00+05:30,0.05,day_close,474000.00,165.00,100.00,65.00,
100,2020-02-27,Thursday,TRADED,,2020-02-27,11633.70,11650,11650,0,11750,11550,75,4,300,0.49,2.40,4.80,2020-02-27T15:20:00+05:30,0.05,day_close,4.85,9.70,2020-02-27T09:33:00+05:30,9.70,sl,456450.00,-1350.00,100.00,-1450.00,
100,2020-03-05,Thursday,TRADED,,2020-03-05,11311.90,11300,11300,0,11400,11200,75,4,300,0.82,11.15,22.30,2020-03-05T15:20:00+05:30,0.10,day_close,13.55,27.10,2020-03-05T15:20:00+05:30,0.10,day_close,442800.00,6750.00,100.00,6650.00,
100,2020-03-12,Thursday,TRADED,,2020-03-12,9994.25,10000,10000,0,10100,9900,75,4,300,0.66,27.80,55.60,2020-03-12T15:20:00+05:30,0.15,day_close,42.00,84.00,2020-03-12T10:43:00+05:30,84.00,sl,392100.00,-4905.00,100.00,-5005.00,
100,2020-03-19,Thursday,TRADED,,2020-03-19,7963.75,7950,7900,-1,8000,7800,75,4,300,0.85,102.50,205.00,2020-03-19T11:05:00+05:30,205.00,sl,121.05,242.10,2020-03-19T15:20:00+05:30,0.15,day_close,310200.00,4920.00,100.00,4820.00,
