range_label,moneyness,offset_points,entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,target_strike,sold_side,contract_name,option_entry_timestamp,option_entry_open,option_exit_timestamp,option_exit_open,gross_pnl,brokerage,net_pnl,remarks
OTM_100,OTM,100,2025-10-03,TRADED,,2025-10-07,2025-10-06,2025-10-03T15:15:00+05:30,24895.0,24827.37,ABOVE_SMA,24900,24800,PE,NIFTY_24800_PE_07_OCT_25.csv,2025-10-03T15:29:00+05:30,30.25,2025-10-06T09:16:00+05:30,22.65,1456.00,50.00,1406.00,
OTM_200,OTM,200,2025-10-03,TRADED,,2025-10-07,2025-10-06,2025-10-03T15:15:00+05:30,24895.0,24827.37,ABOVE_SMA,24900,24700,PE,NIFTY_24700_PE_07_OCT_25.csv,2025-10-03T15:29:00+05:30,16.7,2025-10-06T09:16:00+05:30,10.15,1183.00,50.00,1133.00,
OTM_300,OTM,300,2025-10-03,TRADED,,2025-10-07,2025-10-06,2025-10-03T15:15:00+05:30,24895.0,24827.37,ABOVE_SMA,24900,24600,PE,NIFTY_24600_PE_07_OCT_25.csv,2025-10-03T15:29:00+05:30,10.35,2025-10-06T09:16:00+05:30,5.3,793.00,50.00,743.00,
OTM_400,OTM,400,2025-10-03,TRADED,,2025-10-07,2025-10-06,2025-10-03T15:15:00+05:30,24895.0,24827.37,ABOVE_SMA,24900,24500,PE,NIFTY_24500_PE_07_OCT_25.csv,2025-10-03T15:29:00+05:30,6.85,2025-10-06T09:16:00+05:30,3.4,377.00,50.00,327.00,
OTM_500,OTM,500,2025-10-03,TRADED,,2025-10-07,2025-10-06,2025-10-03T15:15:00+05:30,24895.0,24827.37,ABOVE_SMA,24900,24400,PE,NIFTY_24400_PE_07_OCT_25.csv,2025-10-03T15:29:00+05:30,4.75,2025-10-06T09:16:00+05:30,2.4,91.00,50.00,41.00,
ITM_100,ITM,100,2025-10-03,TRADED,,2025-10-07,2025-10-06,2025-10-03T15:15:00+05:30,24895.0,24827.37,ABOVE_SMA,24900,25000,PE,NIFTY_25000_PE_07_OCT_25.csv,2025-10-03T15:29:00+05:30,114.8,2025-10-06T09:16:00+05:30,110.65,559.00,50.00,509.00,
ITM_200,ITM,200,2025-10-03,TRADED,,2025-10-07,2025-10-06,2025-10-03T15:15:00+05:30,24895.0,24827.37,ABOVE_SMA,24900,25100,PE,NIFTY_25100_PE_07_OCT_25.csv,2025-10-03T15:29:00+05:30,195.0,2025-10-06T09:16:00+05:30,190.5,650.00,50.00,600.00,
ITM_300,ITM,300,2025-10-03,TRADED,,2025-10-07,2025-10-06,2025-10-03T15:15:00+05:30,24895.0,24827.37,ABOVE_SMA,24900,25200,PE,NIFTY_25200_PE_07_OCT_25.csv,2025-10-03T15:29:00+05:30,288.85,2025-10-06T09:16:00+05:30,284.0,741.00,50.00,691.00,
OTM_100,OTM,100,2025-10-06,TRADED,,2025-10-07,2025-10-07,2025-10-06T15:15:00+05:30,25072.55,25018.13,ABOVE_SMA,25050,24950,PE,NIFTY_24950_PE_07_OCT_25.csv,2025-10-06T15:29:00+05:30,12.65,2025-10-07T09:16:00+05:30,6.8,1001.00,50.00,951.00,
OTM_200,OTM,200,2025-10-06,TRADED,,2025-10-07,2025-10-07,2025-10-06T15:15:00+05:30,25072.55,25018.13,ABOVE_SMA,25050,24850,PE,NIFTY_24850_PE_07_OCT_25.csv,2025-10-06T15:29:00+05:30,6.8,2025-10-07T09:16:00+05:30,3.45,351.00,50.00,301.00,
OTM_300,OTM,300,2025-10-06,TRADED,,2025-10-07,2025-10-07,2025-10-06T15:15:00+05:30,25072.55,25018.13,ABOVE_SMA,25050,24750,PE,NIFTY_24750_PE_07_OCT_25.csv,2025-10-06T15:29:00+05:30,4.6,2025-10-07T09:16:00+05:30,2.3,78.00,50.00,28.00,
OTM_400,OTM,400,2025-10-06,TRADED,,2025-10-07,2025-10-07,2025-10-06T15:15:00+05:30,25072.55,25018.13,ABOVE_SMA,25050,24650,PE,NIFTY_24650_PE_07_OCT_25.csv,2025-10-06T15:29:00+05:30,3.7,2025-10-07T09:16:00+05:30,1.85,-39.00,50.00,-89.00,
OTM_500,OTM,500,2025-10-06,TRADED,,2025-10-07,2025-10-07,2025-10-06T15:15:00+05:30,25072.55,25018.13,ABOVE_SMA,25050,24550,PE,NIFTY_24550_PE_07_OCT_25.csv,2025-10-06T15:29:00+05:30,3.0,2025-10-07T09:16:00+05:30,1.6,-156.00,50.00,-206.00,
