entry_date,status,skip_reason,expiry_date,next_trading_day,spot_entry_timestamp,spot_entry_open,atm_strike,ce_entry_timestamp,ce_entry_open,ce_exit_timestamp,ce_exit_open,pe_entry_timestamp,pe_entry_open,pe_exit_timestamp,pe_exit_open,gross_pnl,brokerage,net_pnl,adjustments,remarks
2025-04-22,TRADED,,2025-04-24,2025-04-23,2025-04-22T15:20:00+05:30,24165.0,24150,2025-04-22T15:20:00+05:30,107.3,2025-04-23T09:16:00+05:30,170.8,2025-04-22T15:20:00+05:30,82.05,2025-04-23T09:16:00+05:30,36.54,-17.99,100.00,-117.99,0,
2025-04-23,TRADED,,2025-04-24,2025-04-24,2025-04-23T15:20:00+05:30,24328.15,24350,2025-04-23T15:20:00+05:30,49.6,2025-04-24T09:16:00+05:30,19.64,2025-04-23T15:20:00+05:30,94.55,2025-04-24T09:16:00+05:30,105.55,18.96,100.00,-81.04,0,
2025-04-24,TRADED,,2025-04-30,2025-04-25,2025-04-24T15:20:00+05:30,24253.4,24250,2025-04-24T15:20:00+05:30,207.4,2025-04-25T09:16:00+05:30,250.15,2025-04-24T15:20:00+05:30,181.8,2025-04-25T09:16:00+05:30,132.0,7.05,100.00,-92.95,0,
2025-04-25,TRADED,,2025-04-30,2025-04-28,2025-04-25T15:20:00+05:30,24034.8,24050,2025-04-25T15:20:00+05:30,171.15,2025-04-28T09:16:00+05:30,185.55,2025-04-25T15:20:00+05:30,174.6,2025-04-28T09:16:00+05:30,110.15,50.05,100.00,-49.95,0,
2025-04-28,TRADED,,2025-04-30,2025-04-29,2025-04-28T15:20:00+05:30,24336.5,24350,2025-04-28T15:20:00+05:30,101.6,2025-04-29T09:16:00+05:30,127.2,2025-04-28T15:20:00+05:30,101.25,2025-04-29T09:16:00+05:30,55.0,20.65,100.00,-79.35,0,
2025-04-29,TRADED,,2025-04-30,2025-04-30,2025-04-29T15:20:00+05:30,24338.85,24350,2025-04-29T15:20:00+05:30,43.7,2025-04-30T09:16:00+05:30,16.5,2025-04-29T15:20:00+05:30,69.8,2025-04-30T09:16:00+05:30,95.35,1.65,100.00,-98.35,0,
2025-04-30,TRADED,,2025-05-08,2025-05-02,2025-04-30T15:20:00+05:30,24323.75,24300,2025-04-30T15:20:00+05:30,271.5,2025-05-02T09:16:00+05:30,302.3,2025-04-30T15:20:00+05:30,211.85,2025-05-02T09:16:00+05:30,150.75,30.30,100.00,-69.70,0,
2025-05-02,TRADED,,2025-05-08,2025-05-05,2025-05-02T15:20:00+05:30,24329.05,24350,2025-05-02T15:20:00+05:30,149.75,2025-05-05T09:16:00+05:30,187.2,2025-05-02T15:20:00+05:30,191.95,2025-05-05T09:16:00+05:30,105.35,49.15,100.00,-50.85,0,
2025-05-05,TRADED,,2025-05-08,2025-05-06,2025-05-05T15:20:00+05:30,24470.15,24450,2025-05-05T15:20:00+05:30,110.1,2025-05-06T09:16:00+05:30,101.45,2025-05-05T15:20:00+05:30,99.15,2025-05-06T09:16:00+05:30,88.5,19.30,100.00,-80.70,0,
2025-05-06,TRADED,,2025-05-08,2025-05-07,2025-05-06T15:20:00+05:30,24364.6,24350,2025-05-06T15:20:00+05:30,73.8,2025-05-07T09:16:00+05:30,88.95,2025-05-06T15:20:00+05:30,85.75,2025-05-07T09:16:00+05:30,94.35,-23.75,100.00,-123.75,0,
2025-05-07,TRADED,,2025-05-08,2025-05-08,2025-05-07T15:20:00+05:30,24409.75,24400,2025-05-07T15:20:00+05:30,42.3,2025-05-08T09:16:00+05:30,41.8,2025-05-07T15:20:00+05:30,79.75,2025-05-08T09:16:00+05:30,29.25,51.00,100.00,-49.00,0,
2025-05-08,TRADED,,2025-05-15,2025-05-09,2025-05-08T15:20:00+05:30,24266.1,24250,2025-05-08T15:20:00+05:30,256.39,2025-05-09T09:16:00+05:30,194.45,2025-05-08T15:20:00+05:30,277.35,2025-05-09T09:16:00+05:30,346.55,-7.26,100.00,-107.26,0,
2025-05-09,TRADED,,2025-05-15,2025-05-12,2025-05-09T15:20:00+05:30,24017.6,24000,2025-05-09T15:20:00+05:30,233.6,2025-05-12T09:16:00+05:30,544.0,2025-05-09T15:20:00+05:30,237.55,2025-05-12T09:16:00+05:30,20.55,-93.40,100.00,-193.40,0,
2025-05-12,TRADED,,2025-05-15,2025-05-13,2025-05-12T15:20:00+05:30,24941.45,24950,2025-05-12T15:20:00+05:30,207.45,2025-05-13T09:16:00+05:30,189.2,2025-05-12T15:20:00+05:30,180.45,2025-05-13T09:16:00+05:30,180.1,18.60,100.00,-81.40,0,
2025-05-13,TRADED,,2025-05-15,2025-05-14,2025-05-13T15:20:00+05:30,24580.05,24600,2025-05-13T15:20:00+05:30,131.44,2025-05-14T09:16:00+05:30,115.0,2025-05-13T15:20:00+05:30,150.75,2025-05-14T09:16:00+05:30,135.15,32.04,100.00,-67.96,0,
2025-05-14,TRADED,,2025-05-15,2025-05-15,2025-05-14T15:20:00+05:30,24658.15,24650,2025-05-14T15:20:00+05:30,78.05,2025-05-15T09:16:00+05:30,65.3,2025-05-14T15:20:00+05:30,109.5,2025-05-15T09:16:00+05:30,75.65,46.60,100.00,-53.40,0,
2025-05-15,TRADED,,2025-05-22,2025-05-16,2025-05-15T15:20:00+05:30,25050.45,25050,2025-05-15T15:20:00+05:30,188.4,2025-05-16T09:16:00+05:30,189.5,2025-05-15T15:20:00+05:30,206.8,2025-05-16T09:16:00+05:30,205.65,0.05,100.00,-99.95,0,
2025-05-16,TRADED,,2025-05-22,2025-05-19,2025-05-16T15:20:00+05:30,25017.5,25000,2025-05-16T15:20:00+05:30,192.8,2025-05-19T09:16:00+05:30,163.35,2025-05-16T15:20:00+05:30,162.6,2025-05-19T09:16:00+05:30,179.5,12.55,100.00,-87.45,0,
2025-05-19,TRADED,,2025-05-22,2025-05-20,2025-05-19T15:20:00+05:30,24944.85,24950,2025-05-19T15:20:00+05:30,149.15,2025-05-20T09:16:00+05:30,162.3,2025-05-19T15:20:00+05:30,163.8,2025-05-20T09:16:00+05:30,114.35,36.30,100.00,-63.70,0,
2025-05-20,TRADED,,2025-05-22,2025-05-21,2025-05-20T15:20:00+05:30,24676.6,24700,2025-05-20T15:20:00+05:30,133.6,2025-05-21T09:16:00+05:30,130.9,2025-05-20T15:20:00+05:30,102.05,2025-05-21T09:16:00+05:30,85.05,19.70,100.00,-80.30,0,
2025-05-21,TRADED,,2025-05-22,2025-05-22,2025-05-21T15:20:00+05:30,24811.05,24800,2025-05-21T15:20:00+05:30,99.6,2025-05-22T09:16:00+05:30,56.0,2025-05-21T15:20:00+05:30,109.75,2025-05-22T09:16:00+05:30,173.95,-20.60,100.00,-120.60,0,
2025-05-22,TRADED,,2025-05-29,2025-05-23,2025-05-22T15:20:00+05:30,24615.1,24600,2025-05-22T15:20:00+05:30,230.55,2025-05-23T09:16:00+05:30,235.2,2025-05-22T15:20:00+05:30,181.2,2025-05-23T09:16:00+05:30,162.5,14.05,100.00,-85.95,0,
2025-05-23,TRADED,,2025-05-29,2025-05-26,2025-05-23T15:20:00+05:30,24856.45,24850,2025-05-23T15:20:00+05:30,218.95,2025-05-26T09:16:00+05:30,297.64,2025-05-23T15:20:00+05:30,188.55,2025-05-26T09:16:00+05:30,129.0,-19.14,100.00,-119.14,0,
