entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,max_consec_sl_in_day,remarks
2024-05-27,TRADED,,2024-05-30,7,4,3,6,1,0,14,-7560.00,350.00,-7910.00,6,
2024-05-28,SKIPPED,random_skip,2024-05-30,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-05-29,TRADED,,2024-05-30,1,1,0,0,1,0,2,18375.00,50.00,18325.00,0,
2024-05-30,TRADED,,2024-05-30,1,1,0,0,1,0,2,21120.00,50.00,21070.00,0,
2024-05-31,SKIPPED,random_skip,2024-06-06,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-06-03,TRADED,,2024-06-06,1,0,1,0,1,0,2,10335.00,50.00,10285.00,0,
2024-06-04,TRADED,,2024-06-06,2,1,1,1,1,0,4,27420.00,100.00,27320.00,1,
2024-06-05,TRADED,,2024-06-06,4,2,2,3,1,0,8,30675.00,200.00,30475.00,3,
2024-06-06,TRADED,,2024-06-06,4,1,3,3,1,0,8,27450.00,200.00,27250.00,3,
2024-06-07,SKIPPED,random_skip,2024-06-13,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-06-10,TRADED,,2024-06-13,2,1,1,1,1,0,4,-12855.00,100.00,-12955.00,1,
2024-06-11,TRADED,,2024-06-13,9,3,6,9,0,0,18,-35970.00,450.00,-36420.00,9,
2024-06-12,SKIPPED,random_skip,2024-06-13,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-06-13,TRADED,,2024-06-13,11,5,6,11,0,0,22,1830.00,550.00,1280.00,11,
2024-06-14,TRADED,,2024-06-20,3,1,2,2,1,0,6,-11175.00,150.00,-11325.00,2,
2024-06-18,TRADED,,2024-06-20,1,0,1,0,1,0,2,3855.00,50.00,3805.00,0,
2024-06-19,SKIPPED,random_skip,2024-06-20,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-06-20,SKIPPED,random_skip,2024-06-20,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-06-21,TRADED,,2024-06-27,4,2,2,4,0,0,8,-18255.00,200.00,-18455.00,4,
2024-06-24,TRADED,,2024-06-27,4,2,2,3,1,0,8,-23670.00,200.00,-23870.00,3,
2024-06-25,TRADED,,2024-06-27,1,0,1,0,1,0,2,17430.00,50.00,17380.00,0,
2024-06-26,SKIPPED,random_skip,2024-06-27,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-06-27,TRADED,,2024-06-27,4,0,4,3,1,0,8,20400.00,200.00,20200.00,3,
2024-06-28,SKIPPED,random_skip,2024-07-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-07-01,SKIPPED,random_skip,2024-07-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-07-02,SKIPPED,random_skip,2024-07-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-07-03,SKIPPED,random_skip,2024-07-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-07-04,TRADED,,2024-07-04,6,2,4,5,1,0,12,-1380.00,300.00,-1680.00,5,
2024-07-05,TRADED,,2024-07-11,4,4,0,4,0,0,8,-21930.00,200.00,-22130.00,4,
2024-07-08,SKIPPED,random_skip,2024-07-11,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-07-09,TRADED,,2024-07-11,1,0,1,0,1,0,2,11580.00,50.00,11530.00,0,
2024-07-10,TRADED,,2024-07-11,4,1,3,3,1,0,8,12420.00,200.00,12220.00,3,
2024-07-11,TRADED,,2024-07-11,8,4,4,8,0,0,16,-15900.00,400.00,-16300.00,8,
2024-07-12,SKIPPED,random_skip,2024-07-18,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-07-15,TRADED,,2024-07-18,1,0,1,1,0,0,2,6600.00,50.00,6550.00,1,
2024-07-16,TRADED,,2024-07-18,3,2,1,3,0,0,6,4350.00,150.00,4200.00,3,
2024-07-18,TRADED,,2024-07-18,5,2,3,4,1,0,10,-24555.00,250.00,-24805.00,4,
2024-07-19,SKIPPED,random_skip,2024-07-25,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-07-22,TRADED,,2024-07-25,3,3,0,2,1,0,6,-25455.00,150.00,-25605.00,2,
2024-07-23,TRADED,,2024-07-25,6,3,3,5,1,0,12,25875.00,300.00,25575.00,5,
2024-07-24,SKIPPED,random_skip,2024-07-25,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-07-25,SKIPPED,random_skip,2024-07-25,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-07-26,TRADED,,2024-08-01,1,0,1,0,1,0,2,33585.00,50.00,33535.00,0,
2024-07-29,TRADED,,2024-08-01,6,2,4,5,1,0,12,-24390.00,300.00,-24690.00,5,
2024-07-30,TRADED,,2024-08-01,4,2,2,4,0,0,8,-19005.00,200.00,-19205.00,4,
2024-07-31,SKIPPED,random_skip,2024-08-01,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-08-01,TRADED,,2024-08-01,8,6,2,8,0,0,16,-17730.00,400.00,-18130.00,8,
2024-08-02,TRADED,,2024-08-08,2,1,1,1,1,0,4,6705.00,100.00,6605.00,1,
2024-08-05,SKIPPED,random_skip,2024-08-08,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-08-06,TRADED,,2024-08-08,3,2,1,2,1,0,6,7005.00,150.00,6855.00,2,
2024-08-07,TRADED,,2024-08-08,2,1,1,1,1,0,4,19035.00,100.00,18935.00,1,
2024-08-08,TRADED,,2024-08-08,8,6,2,7,1,0,16,-10380.00,400.00,-10780.00,7,
2024-08-09,TRADED,,2024-08-14,2,1,1,1,1,0,4,-4275.00,100.00,-4375.00,1,
2024-08-12,TRADED,,2024-08-14,4,2,2,3,1,0,8,-22365.00,200.00,-22565.00,3,
2024-08-13,TRADED,,2024-08-14,1,1,0,0,1,0,2,21015.00,50.00,20965.00,0,
2024-08-14,TRADED,,2024-08-14,6,3,3,6,0,0,12,4095.00,300.00,3795.00,6,
2024-08-16,TRADED,,2024-08-22,2,1,1,1,1,0,4,20865.00,100.00,20765.00,1,
2024-08-19,TRADED,,2024-08-22,2,0,2,2,0,0,4,-7110.00,100.00,-7210.00,2,
2024-08-20,TRADED,,2024-08-22,1,0,1,1,0,0,2,11430.00,50.00,11380.00,1,
2024-08-21,TRADED,,2024-08-22,9,4,5,8,1,0,18,-11730.00,450.00,-12180.00,8,
2024-08-22,SKIPPED,random_skip,2024-08-22,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-08-23,SKIPPED,random_skip,2024-08-29,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-08-26,TRADED,,2024-08-29,1,0,1,0,1,0,2,18720.00,50.00,18670.00,0,
2024-08-27,TRADED,,2024-08-29,7,4,3,6,1,0,14,-11460.00,350.00,-11810.00,6,
