entry_date,day_of_week,status,skip_reason,expiry_date,expiry_type,spot_entry_timestamp,spot_entry_open,atm_strike,quantity,ce_contract_file,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_contract_file,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
2021-04-16,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-16T09:20:00+05:30,48883.4,48900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48900_CE_31_OCT_24.csv, SENSEX_48900_PE_31_OCT_24.csv"
2021-04-19,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-19T09:20:00+05:30,47623.9,47600,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_47600_CE_31_OCT_24.csv, SENSEX_47600_PE_31_OCT_24.csv"
2021-04-20,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-20T09:20:00+05:30,48355.3,48400,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48400_CE_31_OCT_24.csv, SENSEX_48400_PE_31_OCT_24.csv"
2021-04-22,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-22T09:20:00+05:30,47239.1,47200,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_47200_CE_31_OCT_24.csv, SENSEX_47200_PE_31_OCT_24.csv"
2021-04-23,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-23T09:20:00+05:30,47957.2,48000,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48000_CE_31_OCT_24.csv, SENSEX_48000_PE_31_OCT_24.csv"
2021-04-26,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-26T09:20:00+05:30,48303.2,48300,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48300_CE_31_OCT_24.csv, SENSEX_48300_PE_31_OCT_24.csv"
2021-04-27,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-27T09:20:00+05:30,48543.6,48500,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48500_CE_31_OCT_24.csv, SENSEX_48500_PE_31_OCT_24.csv"
2021-04-28,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-28T09:20:00+05:30,49234.0,49200,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49200_CE_31_OCT_24.csv, SENSEX_49200_PE_31_OCT_24.csv"
2021-04-29,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-29T09:20:00+05:30,50334.5,50300,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50300_CE_31_OCT_24.csv, SENSEX_50300_PE_31_OCT_24.csv"
2021-04-30,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-30T09:20:00+05:30,49365.3,49400,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49400_CE_31_OCT_24.csv, SENSEX_49400_PE_31_OCT_24.csv"
2021-05-03,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-05-03T09:20:00+05:30,48245.9,48200,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48200_CE_31_OCT_24.csv, SENSEX_48200_PE_31_OCT_24.csv"
