date,net_pnl,equity,peak,drawdown,drawdown_pct
2022-03-03,92645.92,4253947.92,4253947.92,0.00,0.00
2022-03-10,10192.02,4264139.94,4264139.94,0.00,0.00
2022-03-17,26977.90,4291117.85,4291117.85,0.00,0.00
2022-03-24,59115.78,4350233.62,4350233.62,0.00,0.00
2022-03-31,61987.06,4412220.69,4412220.69,0.00,0.00
2022-04-07,10911.89,4423132.58,4423132.58,0.00,0.00
2022-04-13,16412.45,4439545.02,4439545.02,0.00,0.00
2022-04-21,-42768.53,4396776.50,4439545.02,42768.53,0.96
2022-04-28,2660.63,4399437.13,4439545.02,40107.89,0.90
2022-05-05,40114.10,4439551.23,4439551.23,0.00,0.00
2022-05-12,32037.33,4471588.56,4471588.56,0.00,0.00
2022-05-19,-58056.68,4413531.88,4471588.56,58056.68,1.30
2022-05-26,38383.02,4451914.90,4471588.56,19673.66,0.44
2022-06-02,46357.16,4498272.06,4498272.06,0.00,0.00
2022-06-09,85338.81,4583610.87,4583610.87,0.00,0.00
2022-06-16,-28581.22,4555029.65,4583610.87,28581.22,0.62
2022-06-23,16264.27,4571293.92,4583610.87,12316.95,0.27
2022-06-30,45230.92,4616524.84,4616524.84,0.00,0.00
2022-07-07,43775.02,4660299.86,4660299.86,0.00,0.00
2022-07-14,68995.62,4729295.48,4729295.48,0.00,0.00
2022-07-21,2775.52,4732071.01,4732071.01,0.00,0.00
2022-07-28,-19724.52,4712346.49,4732071.01,19724.52,0.42
2022-08-04,-11332.31,4701014.18,4732071.01,31056.83,0.66
2022-08-11,61192.14,4762206.32,4762206.32,0.00,0.00
2022-08-18,18939.60,4781145.92,4781145.92,0.00,0.00
2022-08-25,-26969.58,4754176.34,4781145.92,26969.58,0.56
2022-09-01,-36139.70,4718036.64,4781145.92,63109.28,1.32
2022-09-08,15489.51,4733526.15,4781145.92,47619.77,1.00
2022-09-15,-11799.20,4721726.94,4781145.92,59418.97,1.24
2022-09-22,18457.39,4740184.33,4781145.92,40961.59,0.86
2022-09-29,33116.39,4773300.72,4781145.92,7845.20,0.16
2022-10-06,56815.59,4830116.31,4830116.31,0.00,0.00
2022-10-13,43847.96,4873964.26,4873964.26,0.00,0.00
2022-10-20,35245.91,4909210.17,4909210.17,0.00,0.00
2022-10-27,9368.20,4918578.37,4918578.37,0.00,0.00
2022-11-03,32146.74,4950725.11,4950725.11,0.00,0.00
2022-11-10,23879.15,4974604.26,4974604.26,0.00,0.00
2022-11-17,36970.72,5011574.98,5011574.98,0.00,0.00
2022-11-24,-8735.11,5002839.87,5011574.98,8735.11,0.17
2022-12-01,27857.79,5030697.66,5030697.66,0.00,0.00
2022-12-08,30889.24,5061586.90,5061586.90,0.00,0.00
2022-12-15,-7540.45,5054046.45,5061586.90,7540.45,0.15
2022-12-29,14015.45,5068061.90,5068061.90,0.00,0.00
2023-01-05,13782.05,5081843.95,5081843.95,0.00,0.00
2023-01-12,15892.96,5097736.91,5097736.91,0.00,0.00
2023-01-19,54868.84,5152605.75,5152605.75,0.00,0.00
2023-01-25,1199.83,5153805.58,5153805.58,0.00,0.00
2023-02-02,-27849.55,5125956.02,5153805.58,27849.55,0.54
2023-02-09,31927.16,5157883.18,5157883.18,0.00,0.00
2023-02-16,23723.38,5181606.56,5181606.56,0.00,0.00
2023-02-23,-31507.25,5150099.32,5181606.56,31507.25,0.61
2023-03-02,19755.69,5169855.01,5181606.56,11751.55,0.23
2023-03-09,4965.75,5174820.76,5181606.56,6785.80,0.13
2023-03-16,-3554.73,5171266.03,5181606.56,10340.54,0.20
2023-03-23,15836.97,5187103.00,5187103.00,0.00,0.00
2023-03-29,21113.20,5208216.20,5208216.20,0.00,0.00
2023-04-06,13563.44,5221779.63,5221779.63,0.00,0.00
2023-05-18,11401.98,5233181.61,5233181.61,0.00,0.00
2023-06-01,55422.20,5288603.81,5288603.81,0.00,0.00
2023-08-24,47196.27,5335800.08,5335800.08,0.00,0.00
2023-09-07,442.46,5336242.55,5336242.55,0.00,0.00
2023-10-05,19106.06,5355348.61,5355348.61,0.00,0.00
2023-12-07,-19102.02,5336246.59,5355348.61,19102.02,0.36
2023-12-14,1459.05,5337705.63,5355348.61,17642.97,0.33
2023-12-21,27551.87,5365257.50,5365257.50,0.00,0.00
2023-12-28,6586.97,5371844.47,5371844.47,0.00,0.00
2024-01-04,31088.55,5402933.02,5402933.02,0.00,0.00
2024-01-11,-18908.90,5384024.12,5402933.02,18908.90,0.35
2024-01-18,-9338.14,5374685.98,5402933.02,28247.05,0.52
