entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked
2024-02-16,2024-02-22,2024-02-22,22000,50,YES,,,20,18,18,40,5,56.35,2817.50,1200.00,1617.50,0,272
2024-02-23,2024-02-29,2024-02-29,22250,50,YES,,,17,15,13,34,8,203.40,10170.00,1020.00,9150.00,0,208
2024-03-01,2024-03-07,2024-03-07,22100,50,NO,balance_check_failed,"CE=196.75 PE=136.70 within 69.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2024-03-11,2024-03-14,2024-03-14,22500,50,YES,,,17,15,15,34,9,73.40,3670.00,1020.00,2650.00,0,377
2024-03-15,2024-03-21,2024-03-21,22100,50,YES,,,16,14,14,32,8,44.45,2222.50,960.00,1262.50,0,273
2024-03-22,2024-03-28,2024-03-28,21950,50,NO,balance_check_failed,"CE=180.20 PE=96.30 within 53.4%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2024-04-01,2024-04-04,2024-04-04,22500,50,YES,,,14,12,11,28,5,33.25,1662.50,840.00,822.50,0,193
2024-04-05,2024-04-10,2024-04-10,22450,50,YES,,,9,7,5,18,7,273.70,13685.00,540.00,13145.00,1,446
2024-04-12,2024-04-18,2024-04-18,22700,50,YES,,,10,8,4,20,7,53.20,2660.00,600.00,2060.00,4,758
2024-04-19,2024-04-25,2024-04-25,21800,50,NO,balance_check_failed,"CE=203.90 PE=161.30 within 79.1%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2024-04-26,2024-05-02,2024-05-02,22600,25,YES,,,10,8,8,20,6,174.90,4372.50,600.00,3772.50,0,170
2024-05-03,2024-05-09,2024-05-09,22750,25,NO,balance_check_failed,"CE=164.10 PE=110.50 within 67.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2024-05-10,2024-05-16,2024-05-16,21950,25,NO,balance_check_failed,"CE=206.50 PE=141.60 within 68.6%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2024-05-17,2024-05-23,2024-05-23,22400,25,YES,,,10,8,4,20,6,14.70,367.50,600.00,-232.50,805,390
2024-05-24,2024-05-30,2024-05-30,22950,25,NO,balance_check_failed,"CE=206.50 PE=148.20 within 71.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2024-05-31,2024-06-06,2024-06-06,22600,25,YES,,,15,13,12,30,6,-95.95,-2398.75,900.00,-3298.75,113,404
2024-06-07,2024-06-13,2024-06-13,22800,25,YES,,,9,7,5,18,7,411.30,10282.50,540.00,9742.50,14,1050
2024-06-14,2024-06-20,2024-06-20,23400,25,YES,,,15,13,12,30,5,46.25,1156.25,900.00,256.25,0,132
2024-06-21,2024-06-27,2024-06-27,23600,25,YES,,,17,15,8,34,9,199.60,4990.00,1020.00,3970.00,0,365
2024-06-28,2024-07-04,2024-07-04,24100,25,YES,,,9,7,4,18,5,283.55,7088.75,540.00,6548.75,0,396
2024-07-05,2024-07-11,2024-07-11,24200,25,YES,,,17,15,15,34,7,-21.50,-537.50,1020.00,-1557.50,0,56
2024-07-12,2024-07-18,2024-07-18,24350,25,NO,balance_check_failed,"CE=137.85 PE=106.15 within 77.0%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2024-07-19,2024-07-25,2024-07-25,24750,25,YES,,,13,11,11,26,7,-38.00,-950.00,780.00,-1730.00,28,168
