entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,remarks
2025-05-20,TRADED,,2025-05-22,2,2,0,1,1,0,4,16263.00,100.00,16163.00,
2025-05-21,TRADED,,2025-05-22,13,8,5,13,0,0,26,-30885.40,650.00,-31535.40,
2025-05-22,TRADED,,2025-05-22,2,1,1,1,1,0,4,18163.60,100.00,18063.60,
2025-05-23,TRADED,,2025-05-29,1,0,1,0,1,0,2,10543.00,50.00,10493.00,
2025-05-26,TRADED,,2025-05-29,1,0,1,0,1,0,2,-5642.00,50.00,-5692.00,
2025-05-27,TRADED,,2025-05-29,6,3,3,5,1,0,12,-16757.00,300.00,-17057.00,
2025-05-28,TRADED,,2025-05-29,9,6,3,8,1,0,18,8468.20,450.00,8018.20,
2025-05-29,TRADED,,2025-05-29,9,5,4,8,1,0,18,205.40,450.00,-244.60,
2025-05-30,TRADED,,2025-06-05,12,9,3,11,1,0,24,-29926.00,600.00,-30526.00,
2025-06-02,TRADED,,2025-06-05,5,1,4,4,1,0,10,-37622.00,250.00,-37872.00,
2025-06-03,TRADED,,2025-06-05,6,5,1,5,1,0,12,12272.00,300.00,11972.00,
2025-06-04,TRADED,,2025-06-05,5,2,3,4,1,0,10,1846.00,250.00,1596.00,
2025-06-05,TRADED,,2025-06-05,5,1,4,5,0,0,10,7891.00,250.00,7641.00,
2025-06-06,TRADED,,2025-06-12,3,1,2,2,1,0,6,18395.00,150.00,18245.00,
2025-06-09,TRADED,,2025-06-12,3,1,2,3,0,0,6,4264.00,150.00,4114.00,
2025-06-10,TRADED,,2025-06-12,8,5,3,7,1,0,16,-1170.00,400.00,-1570.00,
2025-06-11,TRADED,,2025-06-12,4,2,2,3,1,0,8,7865.00,200.00,7665.00,
2025-06-12,TRADED,,2025-06-12,2,1,1,1,1,0,4,14014.00,100.00,13914.00,
2025-06-13,TRADED,,2025-06-19,4,4,0,4,0,0,8,-6812.00,200.00,-7012.00,
2025-06-16,TRADED,,2025-06-19,1,0,1,0,1,0,2,16120.00,50.00,16070.00,
2025-06-17,TRADED,,2025-06-19,2,2,0,1,1,0,4,5759.00,100.00,5659.00,
2025-06-18,TRADED,,2025-06-19,3,1,2,3,0,0,6,2886.00,150.00,2736.00,
2025-06-19,TRADED,,2025-06-19,15,7,8,15,0,0,30,-7150.00,750.00,-7900.00,
2025-06-20,TRADED,,2025-06-26,1,0,1,0,1,0,2,21359.00,50.00,21309.00,
2025-06-23,TRADED,,2025-06-26,2,1,1,1,1,0,4,-11687.00,100.00,-11787.00,
2025-06-24,TRADED,,2025-06-26,3,2,1,2,1,0,6,4888.00,150.00,4738.00,
2025-06-25,TRADED,,2025-06-26,2,1,1,1,1,0,4,6318.00,100.00,6218.00,
2025-06-26,TRADED,,2025-06-26,1,0,1,0,1,0,2,15080.00,50.00,15030.00,
2025-06-27,TRADED,,2025-07-03,1,0,1,0,1,0,2,16510.00,50.00,16460.00,
2025-06-30,TRADED,,2025-07-03,2,1,1,1,1,0,4,9464.00,100.00,9364.00,
2025-07-01,TRADED,,2025-07-03,15,7,8,15,0,0,30,-10621.00,750.00,-11371.00,
2025-07-02,TRADED,,2025-07-03,4,1,3,3,1,0,8,4706.00,200.00,4506.00,
2025-07-03,TRADED,,2025-07-03,5,2,3,4,1,0,10,10374.00,250.00,10124.00,
2025-07-04,TRADED,,2025-07-10,3,1,2,2,1,0,6,6214.00,150.00,6064.00,
2025-07-07,TRADED,,2025-07-10,6,2,4,6,0,0,12,-7787.00,300.00,-8087.00,
2025-07-08,TRADED,,2025-07-10,15,6,9,14,1,0,30,-949.00,750.00,-1699.00,
2025-07-09,TRADED,,2025-07-10,3,1,2,2,1,0,6,5200.00,150.00,5050.00,
2025-07-10,TRADED,,2025-07-10,5,3,2,4,1,0,10,5343.00,250.00,5093.00,
2025-07-11,TRADED,,2025-07-17,1,1,0,0,1,0,2,17524.00,50.00,17474.00,
2025-07-14,TRADED,,2025-07-17,2,1,1,2,0,0,4,-2184.00,100.00,-2284.00,
2025-07-15,TRADED,,2025-07-17,3,1,2,3,0,0,6,4875.00,150.00,4725.00,
