entry_date,status,skip_reason,active_expiry,spot_atm_timestamp,spot_atm_open,atm_strike,sell_ce_strike,sell_ce_entry_timestamp,sell_ce_entry_open,sell_ce_exit_timestamp,sell_ce_exit_open,sell_pe_strike,sell_pe_entry_timestamp,sell_pe_entry_open,sell_pe_exit_timestamp,sell_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,lot_size,num_lots,total_qty,net_entry_credit_points,gross_pnl,brokerage,net_pnl,remarks
2022-08-18,TRADED,,2022-08-18,2022-08-18T09:15:00+05:30,17898.7,17900,18150,2022-08-18T09:20:00+05:30,1.4,2022-08-18T15:20:00+05:30,0.1,17650,2022-08-18T09:20:00+05:30,3.5,2022-08-18T15:20:00+05:30,0.05,18350,2022-08-18T09:20:00+05:30,0.7,2022-08-18T15:20:00+05:30,0.05,17450,2022-08-18T09:20:00+05:30,1.35,2022-08-18T15:20:00+05:30,0.1,50,6,300,2.85,-1545.00,200.00,-1745.00,
2022-08-19,TRADED,,2022-08-25,2022-08-19T09:15:00+05:30,17966.6,17950,18200,2022-08-19T09:20:00+05:30,35.35,2022-08-19T15:20:00+05:30,15.3,17700,2022-08-19T09:20:00+05:30,38.4,2022-08-19T15:20:00+05:30,98.3,18400,2022-08-19T09:20:00+05:30,8.45,2022-08-19T15:20:00+05:30,5.15,17500,2022-08-19T09:20:00+05:30,16.2,2022-08-19T15:20:00+05:30,42.75,50,6,300,49.10,-7380.00,200.00,-7580.00,
2022-08-22,TRADED,,2022-08-25,2022-08-22T09:15:00+05:30,17682.9,17700,17950,2022-08-22T09:20:00+05:30,24.1,2022-08-22T15:20:00+05:30,9.15,17450,2022-08-22T09:20:00+05:30,41.3,2022-08-22T15:20:00+05:30,86.65,18150,2022-08-22T09:20:00+05:30,8.05,2022-08-22T15:20:00+05:30,4.85,17250,2022-08-22T09:20:00+05:30,16.15,2022-08-22T15:20:00+05:30,32.65,50,6,300,41.20,-7530.00,200.00,-7730.00,
2022-08-23,TRADED,,2022-08-25,2022-08-23T09:15:00+05:30,17357.3,17350,17600,2022-08-23T09:20:00+05:30,27.75,2022-08-23T15:20:00+05:30,82.7,17100,2022-08-23T09:20:00+05:30,18.5,2022-08-23T15:20:00+05:30,5.0,17800,2022-08-23T09:20:00+05:30,8.3,2022-08-23T15:20:00+05:30,19.8,16900,2022-08-23T09:20:00+05:30,6.75,2022-08-23T15:20:00+05:30,3.3,50,6,300,31.20,-12420.00,200.00,-12620.00,
2022-08-24,TRADED,,2022-08-25,2022-08-24T09:15:00+05:30,17525.4,17550,17800,2022-08-24T09:20:00+05:30,15.4,2022-08-24T15:20:00+05:30,9.2,17300,2022-08-24T09:20:00+05:30,14.45,2022-08-24T15:20:00+05:30,5.8,18000,2022-08-24T09:20:00+05:30,4.25,2022-08-24T15:20:00+05:30,2.15,17100,2022-08-24T09:20:00+05:30,5.0,2022-08-24T15:20:00+05:30,2.85,50,6,300,20.60,780.00,200.00,580.00,
2022-08-25,TRADED,,2022-08-25,2022-08-25T09:15:00+05:30,17679.0,17700,17950,2022-08-25T09:20:00+05:30,1.1,2022-08-25T15:20:00+05:30,0.1,17450,2022-08-25T09:20:00+05:30,4.1,2022-08-25T15:20:00+05:30,0.45,18150,2022-08-25T09:20:00+05:30,0.85,2022-08-25T15:20:00+05:30,0.05,17250,2022-08-25T09:20:00+05:30,1.6,2022-08-25T15:20:00+05:30,0.25,50,6,300,2.75,-1650.00,200.00,-1850.00,
2022-08-26,TRADED,,2022-09-01,2022-08-26T09:15:00+05:30,17619.3,17600,17850,2022-08-26T09:20:00+05:30,60.8,2022-08-26T15:20:00+05:30,42.15,17350,2022-08-26T09:20:00+05:30,44.5,2022-08-26T15:20:00+05:30,50.15,18050,2022-08-26T09:20:00+05:30,20.1,2022-08-26T15:20:00+05:30,12.4,17150,2022-08-26T09:20:00+05:30,20.65,2022-08-26T15:20:00+05:30,21.5,50,6,300,64.55,-555.00,200.00,-755.00,
2022-08-29,TRADED,,2022-09-01,2022-08-29T09:15:00+05:30,17188.7,17200,17450,2022-08-29T09:20:00+05:30,44.3,2022-08-29T15:20:00+05:30,56.35,16950,2022-08-29T09:20:00+05:30,51.7,2022-08-29T15:20:00+05:30,24.4,17650,2022-08-29T09:20:00+05:30,14.3,2022-08-29T15:20:00+05:30,15.55,16750,2022-08-29T09:20:00+05:30,24.05,2022-08-29T15:20:00+05:30,9.15,50,6,300,57.65,-1920.00,200.00,-2120.00,
2022-08-30,TRADED,,2022-09-01,2022-08-30T09:15:00+05:30,17414.9,17400,17650,2022-08-30T09:20:00+05:30,20.45,2022-08-30T15:20:00+05:30,170.15,17150,2022-08-30T09:20:00+05:30,16.9,2022-08-30T15:20:00+05:30,6.7,17850,2022-08-30T09:20:00+05:30,4.8,2022-08-30T15:20:00+05:30,42.05,16950,2022-08-30T09:20:00+05:30,6.4,2022-08-30T15:20:00+05:30,4.35,50,6,300,26.15,-33690.00,200.00,-33890.00,
2022-09-01,TRADED,,2022-09-01,2022-09-01T09:15:00+05:30,17485.7,17500,17750,2022-09-01T09:20:00+05:30,9.6,2022-09-01T15:20:00+05:30,0.05,17250,2022-09-01T09:20:00+05:30,7.15,2022-09-01T15:20:00+05:30,0.05,17950,2022-09-01T09:20:00+05:30,1.35,2022-09-01T15:20:00+05:30,0.05,17050,2022-09-01T09:20:00+05:30,1.95,2022-09-01T15:20:00+05:30,0.05,50,6,300,13.45,1635.00,200.00,1435.00,
