index,entry_date,day_of_week,status,skip_reason,expiry_date,spot_entry_timestamp,spot_entry_open,atm_strike,lot_size,lots,quantity,ce_contract_file,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_contract_file,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
NIFTY,2026-03-02,Monday,TRADED,,2026-03-02,2026-03-02T09:20:00+05:30,24893.1,24900,65,5,325,NIFTY_24900_CE_02_MAR_26.csv,105.45,126.54,2026-03-02T09:20:00+05:30,126.54,sl,-22.09,-7179.25,NIFTY_24900_PE_02_MAR_26.csv,113.05,135.66,2026-03-02T11:58:00+05:30,135.66,sl,-23.61,-7673.25,-14852.50,100.00,-14952.50,
SENSEX,2026-03-04,Wednesday,TRADED,,2026-03-05,2026-03-04T09:20:00+05:30,78680.92,78700,10,10,100,SENSEX_78700_CE_05_MAR_26.csv,605.35,726.42,2026-03-04T10:27:00+05:30,726.42,sl,-122.07,-12207.00,SENSEX_78700_PE_05_MAR_26.csv,604.80,725.76,2026-03-04T15:20:00+05:30,439.10,day_close,164.70,16470.00,4263.00,100.00,4163.00,
SENSEX,2026-03-05,Thursday,TRADED,,2026-03-05,2026-03-05T09:20:00+05:30,79439.1,79400,10,10,100,SENSEX_79400_CE_05_MAR_26.csv,314.55,377.46,2026-03-05T09:54:00+05:30,377.46,sl,-63.91,-6391.00,SENSEX_79400_PE_05_MAR_26.csv,252.20,302.64,2026-03-05T09:21:00+05:30,302.64,sl,-51.44,-5144.00,-11535.00,100.00,-11635.00,
NIFTY,2026-03-06,Friday,TRADED,,2026-03-10,2026-03-06T09:20:00+05:30,24594.9,24600,65,5,325,NIFTY_24600_CE_10_MAR_26.csv,210.85,253.02,2026-03-06T09:28:00+05:30,253.02,sl,-43.17,-14030.25,NIFTY_24600_PE_10_MAR_26.csv,216.70,260.04,2026-03-06T14:48:00+05:30,261.15,gap_sl,-45.45,-14771.25,-28801.50,100.00,-28901.50,
NIFTY,2026-03-09,Monday,TRADED,,2026-03-10,2026-03-09T09:20:00+05:30,23779.0,23800,65,5,325,NIFTY_23800_CE_10_MAR_26.csv,238.05,285.66,2026-03-09T11:40:00+05:30,285.66,sl,-48.61,-15798.25,NIFTY_23800_PE_10_MAR_26.csv,245.30,294.36,2026-03-09T15:20:00+05:30,103.45,day_close,140.85,45776.25,29978.00,100.00,29878.00,
NIFTY,2026-03-10,Tuesday,TRADED,,2026-03-10,2026-03-10T09:20:00+05:30,24150.7,24150,65,5,325,NIFTY_24150_CE_10_MAR_26.csv,95.70,114.84,2026-03-10T10:15:00+05:30,114.84,sl,-20.14,-6545.50,NIFTY_24150_PE_10_MAR_26.csv,92.75,111.30,2026-03-10T09:36:00+05:30,111.30,sl,-19.55,-6353.75,-12899.25,100.00,-12999.25,
SENSEX,2026-03-11,Wednesday,TRADED,,2026-03-12,2026-03-11T09:20:00+05:30,78308.92,78300,10,10,100,SENSEX_78300_CE_12_MAR_26.csv,420.85,505.02,2026-03-11T15:20:00+05:30,53.45,day_close,366.40,36640.00,SENSEX_78300_PE_12_MAR_26.csv,420.80,504.96,2026-03-11T09:24:00+05:30,504.96,sl,-85.16,-8516.00,28124.00,100.00,28024.00,
SENSEX,2026-03-12,Thursday,TRADED,,2026-03-12,2026-03-12T09:20:00+05:30,75904.45,75900,10,10,100,SENSEX_75900_CE_12_MAR_26.csv,280.95,337.14,2026-03-12T09:20:00+05:30,337.14,sl,-57.19,-5719.00,SENSEX_75900_PE_12_MAR_26.csv,241.70,290.04,2026-03-12T15:20:00+05:30,0.20,day_close,240.50,24050.00,18331.00,100.00,18231.00,
NIFTY,2026-03-13,Friday,TRADED,,2026-03-17,2026-03-13T09:20:00+05:30,23448.5,23450,65,5,325,NIFTY_23450_CE_17_MAR_26.csv,238.30,285.96,2026-03-13T15:20:00+05:30,117.30,day_close,120.00,39000.00,NIFTY_23450_PE_17_MAR_26.csv,230.10,276.12,2026-03-13T09:54:00+05:30,276.12,sl,-47.02,-15281.50,23718.50,100.00,23618.50,
NIFTY,2026-03-16,Monday,TRADED,,2026-03-17,2026-03-16T09:20:00+05:30,23173.8,23150,65,5,325,NIFTY_23150_CE_17_MAR_26.csv,199.45,239.34,2026-03-16T09:36:00+05:30,239.34,sl,-40.89,-13289.25,NIFTY_23150_PE_17_MAR_26.csv,149.15,178.98,2026-03-16T09:25:00+05:30,178.98,sl,-30.83,-10019.75,-23309.00,100.00,-23409.00,
NIFTY,2026-03-17,Tuesday,TRADED,,2026-03-17,2026-03-17T09:20:00+05:30,23393.2,23400,65,5,325,NIFTY_23400_CE_17_MAR_26.csv,73.20,87.84,2026-03-17T09:22:00+05:30,87.84,sl,-15.64,-5083.00,NIFTY_23400_PE_17_MAR_26.csv,90.05,108.06,2026-03-17T09:24:00+05:30,108.06,sl,-19.01,-6178.25,-11261.25,100.00,-11361.25,
SENSEX,2026-03-18,Wednesday,SKIPPED,missing_entry_candle,2026-04-23,2026-03-18T09:20:00+05:30,76533.68,76500,10,10,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2026-03-18T09:20:00+05:30 candle in: SENSEX_76500_CE_23_APR_26.csv, SENSEX_76500_PE_23_APR_26.csv"
