entry_date,status,skip_reason,expiry_date,spot_entry,atm,short_dist,wing_width,short_ce,long_ce,short_pe,long_pe,short_ce_entry,long_ce_entry,short_pe_entry,long_pe_entry,entry_credit,sl_trigger,lot_size,condors,units,exit_time,exit_reason,short_ce_exit,long_ce_exit,short_pe_exit,long_pe_exit,liq_cost_exit,gross_pnl,brokerage,net_pnl,cum_pnl,remarks
2023-03-02,TRADED,,2023-03-02,17432.10,17450,200,100,17650,17750,17250,17150,1.20,0.75,3.20,1.40,2.25,4.50,50,25,1250,09:29,sl,1.20,0.90,6.15,1.55,4.90,-3312.50,9000.00,-12312.50,-1497672.50,
2023-03-09,TRADED,,2023-03-09,17768.10,17750,200,100,17950,18050,17550,17450,1.25,0.70,2.35,1.50,1.40,2.80,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,1680.00,8640.00,-6960.00,-1504632.50,
2023-03-16,TRADED,,2023-03-16,16926.10,16950,200,100,17150,17250,16750,16650,5.40,2.45,8.45,3.20,8.20,16.40,50,25,1250,15:25,eod,0.05,0.05,0.05,0.05,0.00,10250.00,9000.00,1250.00,-1503382.50,
2023-03-23,TRADED,,2023-03-23,17078.10,17100,200,100,17300,17400,16900,16800,2.50,1.20,7.75,2.55,6.50,13.00,50,25,1250,15:25,eod,0.05,0.05,0.05,0.10,-0.05,8187.50,9000.00,-812.50,-1504195.00,
2023-03-29,TRADED,,2023-03-29,16997.20,17000,200,100,17200,17300,16800,16700,1.90,0.90,3.70,1.40,3.30,6.60,50,25,1250,15:25,eod,0.10,0.10,0.05,0.05,0.00,4125.00,9000.00,-4875.00,-1509070.00,
2023-04-06,TRADED,,2023-04-06,17522.40,17500,200,100,17700,17800,17300,17200,1.60,0.70,2.75,1.60,2.05,4.10,50,24,1200,10:05,sl,5.40,1.05,1.40,1.00,4.75,-3240.00,8640.00,-11880.00,-1520950.00,
2023-04-13,TRADED,,2023-04-13,17789.80,17800,200,100,18000,18100,17600,17500,1.25,0.70,2.35,1.25,1.65,3.30,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,1980.00,8640.00,-6660.00,-1527610.00,
2023-04-20,TRADED,,2023-04-20,17653.10,17650,200,100,17850,17950,17450,17350,1.10,0.85,1.55,0.90,0.90,1.80,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,1080.00,8640.00,-7560.00,-1535170.00,
2023-04-27,TRADED,,2023-04-27,17810.70,17800,200,100,18000,18100,17600,17500,1.15,0.70,1.65,1.20,0.90,1.80,50,24,1200,15:25,eod,0.05,0.05,0.10,0.10,0.00,1080.00,8640.00,-7560.00,-1542730.00,
2023-05-04,TRADED,,2023-05-04,18099.30,18100,200,100,18300,18400,17900,17800,0.95,0.75,1.95,1.10,1.05,2.10,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,1260.00,8640.00,-7380.00,-1550110.00,
2023-05-11,TRADED,,2023-05-11,18324.20,18300,200,100,18500,18600,18100,18000,1.75,0.70,1.95,1.40,1.60,3.20,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,1920.00,8640.00,-6720.00,-1556830.00,
2023-05-18,TRADED,,2023-05-18,18269.90,18250,200,100,18450,18550,18050,17950,1.90,1.05,1.45,1.00,1.30,2.60,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,1560.00,8640.00,-7080.00,-1563910.00,
2023-05-25,TRADED,,2023-05-25,18292.30,18300,200,100,18500,18600,18100,18000,1.50,1.05,2.35,1.30,1.50,3.00,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,1800.00,8640.00,-6840.00,-1570750.00,
2023-06-01,TRADED,,2023-06-01,18560.00,18550,200,100,18750,18850,18350,18250,1.40,0.95,1.85,1.15,1.15,2.30,50,23,1150,15:25,eod,0.05,0.05,0.05,0.05,0.00,1322.50,8280.00,-6957.50,-1577707.50,
2023-06-08,TRADED,,2023-06-08,18745.20,18750,200,100,18950,19050,18550,18450,0.95,0.75,2.80,1.75,1.25,2.50,50,23,1150,15:25,eod,0.05,0.05,0.05,0.05,0.00,1437.50,8280.00,-6842.50,-1584550.00,
2023-06-15,TRADED,,2023-06-15,18731.70,18750,200,100,18950,19050,18550,18450,0.95,0.80,2.25,1.60,0.80,1.60,50,23,1150,15:25,eod,0.05,0.05,0.05,0.05,0.00,920.00,8280.00,-7360.00,-1591910.00,
2023-06-22,TRADED,,2023-06-22,18846.80,18850,200,100,19050,19150,18650,18550,1.25,0.95,1.90,1.40,0.80,1.60,50,23,1150,15:25,eod,0.05,0.05,0.05,0.05,0.00,920.00,8280.00,-7360.00,-1599270.00,
2023-06-28,TRADED,,2023-06-28,18868.80,18850,200,100,19050,19150,18650,18550,1.55,0.95,1.90,1.50,1.00,2.00,50,23,1150,10:40,sl,3.10,1.00,2.05,1.60,2.55,-1782.50,8280.00,-10062.50,-1609332.50,
2023-06-29,SKIPPED,no_spot_data_for_expiry,2023-06-29,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,Expiry 2023-06-29 not in spot data
2023-07-06,TRADED,,2023-07-06,19400.90,19400,200,100,19600,19700,19200,19100,2.40,1.20,4.65,2.25,3.60,7.20,50,22,1100,15:25,eod,0.05,0.05,0.05,0.05,0.00,3960.00,7920.00,-3960.00,-1613292.50,
2023-07-13,TRADED,,2023-07-13,19484.90,19500,200,100,19700,19800,19300,19200,1.75,1.30,2.85,1.50,1.80,3.60,50,22,1100,15:25,eod,0.05,0.10,0.05,0.05,-0.05,2035.00,7920.00,-5885.00,-1619177.50,
2023-07-20,TRADED,,2023-07-20,19799.30,19800,200,100,20000,20100,19600,19500,3.15,1.50,4.55,2.45,3.75,7.50,50,22,1100,14:26,sl,8.95,0.75,1.30,1.15,8.35,-5060.00,7920.00,-12980.00,-1632157.50,
2023-07-27,TRADED,,2023-07-27,19857.30,19850,200,100,20050,20150,19650,19550,2.50,1.25,2.85,1.65,2.45,4.90,50,22,1100,11:15,sl,1.90,1.45,6.15,1.40,5.20,-3025.00,7920.00,-10945.00,-1643102.50,
